,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
4454,XA27536,Washington,3611.18,No,Extended,College,2/21/11,Employed,M,63329,Suburban,Divorced,92,33.0,87,0,1,Personal Auto,Personal L3,Offer1,Web,441.6,Four-Door Car,Medsize,
4455,QA22158,Arizona,7122.27,No,Extended,College,2/23/11,Employed,F,64571,Suburban,Divorced,89,34.0,91,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,452.12,Four-Door Car,Small,A
4456,WZ40465,Washington,5041.3,No,Basic,Bachelor,1/30/11,Employed,F,36234,Rural,Married,63,0.0,44,0,5,Personal Auto,Personal L3,Offer3,Web,113.53,Four-Door Car,Small,
4457,VJ83206,California,8364.56,No,Basic,College,1/6/11,Employed,M,72117,Rural,Married,70,1.0,98,0,2,Personal Auto,Personal L2,Offer4,Branch,106.74,Four-Door Car,Medsize,
4458,AZ90068,California,8193.16,No,Basic,College,2/26/11,Employed,M,89219,Suburban,Single,73,12.0,9,4,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Medsize,
4459,BT20606,Arizona,5837.53,No,Basic,Doctor,1/10/11,Employed,M,83308,Suburban,Married,73,3.0,81,1,7,Personal Auto,Personal L2,Offer3,Agent,419.47,Four-Door Car,Medsize,A
4460,VP48253,Arizona,5100.74,No,Basic,High School or Below,2/12/11,Employed,M,41186,Urban,Single,70,15.0,29,4,3,Personal Auto,Personal L3,Offer1,Agent,242.32,Four-Door Car,Medsize,
4461,LA35379,,2954.39,,Basic,Master,1/8/11,Employed,F,62461,Rural,Married,73,15.0,7,0,1,Personal Auto,Personal L1,Offer2,Agent,129.27,Four-Door Car,Small,
4463,DP77737,Oregon,15114.4,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1,2,Personal Auto,Personal L1,Offer2,Call Center,480.0,,,
4466,TY20016,Oregon,7980.49,No,Basic,Bachelor,1/20/11,Employed,M,72734,Urban,Married,66,7.0,96,0,2,Personal Auto,Personal L3,Offer4,Web,195.22,Two-Door Car,Large,A
4467,EH37385,Arizona,8789.88,No,Basic,Master,2/22/11,Employed,F,22849,Suburban,Married,109,5.0,75,0,4,Personal Auto,Personal L3,Offer1,Call Center,523.2,Sports Car,Medsize,
4468,LX99948,Washington,4529.06,No,Basic,Master,2/18/11,Employed,F,65134,Urban,Married,112,28.0,48,0,1,Personal Auto,Personal L2,Offer4,Branch,529.15,SUV,Small,
4469,JG74360,Arizona,4558.97,No,Basic,College,2/2/11,Employed,M,37709,Suburban,Married,116,19.0,39,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,556.8,SUV,Medsize,A
4470,ON67674,California,2771.05,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3.0,32,0,1,Personal Auto,Personal L2,Offer2,Agent,18.92,Two-Door Car,Medsize,A
4471,OZ64384,Oregon,8609.16,Yes,Basic,Bachelor,1/14/11,Employed,F,79090,Urban,Married,107,2.0,74,0,3,Personal Auto,Personal L3,Offer2,Branch,289.04,SUV,Medsize,
4474,GT65065,Oregon,8842.65,No,Basic,Master,2/21/11,Employed,F,42142,Urban,Single,112,1.0,8,0,3,Personal Auto,Personal L3,Offer4,Branch,396.18,Sports Car,Medsize,
4475,WP58340,Arizona,10963.96,Yes,Premium,High School or Below,2/8/11,Employed,M,55687,Suburban,Divorced,276,33.0,91,0,1,Personal Auto,Personal L2,Offer1,Agent,1324.8,Luxury SUV,Medsize,A
4476,DY57308,California,8835.16,No,Basic,Bachelor,1/18/11,Employed,F,22373,Urban,Married,112,11.0,59,0,8,Personal Auto,Personal L1,Offer1,Branch,419.75,SUV,Small,
4477,BL79888,Oregon,34611.38,Yes,Basic,High School or Below,1/14/11,Employed,F,20090,Suburban,Married,109,,59,0,2,Personal Auto,Personal L2,Offer2,Agent,523.2,Sports Car,Medsize,
4478,QL59704,Arizona,23444.9,No,Basic,College,1/26/11,Employed,F,69906,Urban,Married,74,34.0,32,2,2,Corporate Auto,Corporate L3,Offer2,Branch,202.86,Four-Door Car,Medsize,A
4480,TY59969,Arizona,2402.17,No,Basic,College,2/2/11,Employed,M,43246,Rural,Single,62,,89,0,1,Personal Auto,Personal L2,Offer1,Agent,52.44,Four-Door Car,Medsize,
4481,BZ65376,Arizona,8581.28,No,Extended,Bachelor,1/18/11,Medical Leave,M,27689,Suburban,Married,239,0.0,72,2,1,Personal Auto,Personal L2,Offer2,Web,2893.24,Luxury SUV,Medsize,A
4482,DE55857,Washington,2465.44,No,Basic,Bachelor,1/30/11,Employed,F,64997,Suburban,Single,63,7.0,99,1,1,Personal Auto,Personal L3,Offer2,Agent,383.44,Four-Door Car,Small,A
4486,TS53731,California,8660.84,No,Basic,College,2/20/11,Employed,F,79674,Rural,Married,107,29.0,50,0,3,Personal Auto,Personal L2,Offer3,Call Center,9.28,,,
4488,PA14842,Washington,2906.89,No,Basic,High School or Below,1/17/11,Employed,F,45128,Rural,Married,72,13.0,34,0,1,Special Auto,Special L2,Offer4,Branch,66.67,Four-Door Car,Medsize,
4489,LY17372,Arizona,5112.31,No,Extended,College,2/28/11,Employed,M,44743,Suburban,Divorced,137,16.0,55,4,1,Personal Auto,Personal L3,Offer1,Branch,741.3,SUV,Small,
4494,PA38372,Washington,9357.74,No,Premium,High School or Below,1/13/11,Employed,F,33060,Rural,Married,117,19.0,91,0,3,Personal Auto,Personal L2,Offer1,Branch,56.73,Four-Door Car,Medsize,A
4497,KM72781,Washington,9470.62,No,Extended,College,2/14/11,Employed,F,22514,Urban,Married,80,22.0,96,0,2,Personal Auto,Personal L3,Offer2,Call Center,203.47,Four-Door Car,Medsize,A
4498,JL25091,California,4599.76,No,Premium,Bachelor,2/27/11,Employed,M,79284,Rural,Single,117,9.0,59,1,1,Special Auto,Special L2,Offer3,Agent,156.45,,,A
4499,JY27336,Oregon,8205.39,No,Basic,College,2/22/11,Employed,F,85840,Rural,Married,102,14.0,79,2,4,Corporate Auto,Corporate L3,Offer2,Agent,138.72,SUV,Medsize,A
4500,CF57022,Oregon,10442.65,No,Extended,Bachelor,1/26/11,Medical Leave,M,17269,Suburban,Married,139,3.0,31,0,5,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,Small,
4504,AE90216,California,4974.8,Yes,Basic,Bachelor,1/18/11,Employed,M,75644,Suburban,Divorced,65,5.0,68,3,9,Personal Auto,Personal L2,Offer2,Branch,467.8,Two-Door Car,Medsize,
4505,WE95729,Oregon,36707.43,No,Basic,College,1/17/11,Employed,M,24804,Suburban,Married,104,1.0,28,0,2,Personal Auto,Personal L2,Offer1,Agent,593.83,SUV,Small,
4507,CD95333,California,5638.93,No,Basic,Bachelor,1/10/11,Employed,M,20920,Rural,Single,74,19.0,14,0,4,Personal Auto,Personal L1,Offer2,Branch,14.78,Two-Door Car,Medsize,A
4509,NN99001,Arizona,6997.83,No,Extended,College,2/23/11,Employed,F,56940,Suburban,Married,87,11.0,10,0,9,Personal Auto,Personal L3,Offer2,Web,512.66,Four-Door Car,Small,A
4510,WE88728,Arizona,6670.85,No,Premium,High School or Below,1/2/11,Employed,F,56531,Suburban,Married,170,34.0,24,3,1,Corporate Auto,Corporate L3,Offer2,Web,816.0,SUV,Medsize,A
4511,SN49269,Oregon,7812.89,No,Basic,High School or Below,2/16/11,Employed,M,72353,Suburban,Divorced,66,27.0,15,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,,,
4512,EJ67407,Arizona,8024.51,No,Premium,High School or Below,2/7/11,Employed,M,95191,Urban,Divorced,101,6.0,15,0,3,Corporate Auto,Corporate L2,Offer2,Agent,316.11,Four-Door Car,Medsize,
4513,DL36983,Oregon,8495.16,No,Premium,High School or Below,1/24/11,Employed,F,23791,Suburban,Divorced,110,11.0,71,3,7,Personal Auto,Personal L3,Offer1,Agent,615.27,Two-Door Car,Medsize,
4514,XF57481,Washington,10640.94,No,Extended,Master,1/19/11,Employed,M,50450,Rural,Single,90,11.0,68,0,2,Personal Auto,Personal L3,Offer4,Branch,135.89,Two-Door Car,Medsize,
4515,IF18508,California,7950.57,No,Extended,High School or Below,1/25/11,Employed,F,70610,Rural,Single,99,2.0,11,0,3,Personal Auto,Personal L1,Offer4,Agent,240.98,Four-Door Car,Large,A
4516,GE58317,Arizona,4834.71,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,
4517,XC83045,Nevada,16460.08,No,Extended,Bachelor,2/9/11,Disabled,M,16869,Suburban,Divorced,222,28.0,57,0,3,Personal Auto,Personal L2,Offer1,Call Center,1065.6,,,
4518,TY59969,Arizona,2402.17,No,Basic,College,2/2/11,Employed,M,43246,Rural,Single,62,19.0,89,0,1,Personal Auto,Personal L2,Offer1,Agent,52.44,Four-Door Car,Medsize,A
4520,HT16519,Washington,26900.27,No,Basic,Bachelor,1/13/11,Employed,F,63009,Urban,Married,112,17.0,49,0,2,Personal Auto,Personal L3,Offer3,Call Center,485.29,Sports Car,Small,
4522,MZ16820,Nevada,8157.93,No,Premium,High School or Below,1/11/11,Employed,M,86811,Suburban,Married,102,19.0,22,0,5,Corporate Auto,Corporate L2,Offer2,Call Center,489.6,Four-Door Car,Small,
4523,HS14476,Washington,9162.06,No,Extended,College,2/23/11,Medical Leave,M,29723,Rural,Married,80,8.0,79,0,2,Personal Auto,Personal L2,Offer1,Call Center,20.99,Four-Door Car,Medsize,
4524,UC19334,,4698.35,,Extended,High School or Below,1/9/11,Medical Leave,F,26411,Suburban,Married,126,25.0,9,1,1,Corporate Auto,Corporate L3,Offer3,Agent,604.8,SUV,Medsize,
4525,BZ47770,Washington,5083.79,No,Basic,Bachelor,1/9/11,Employed,F,62088,Rural,Married,64,6.0,28,2,4,Corporate Auto,Corporate L2,Offer1,Agent,73.26,Two-Door Car,Medsize,
4526,ZG54759,California,2837.01,No,Basic,College,1/17/11,Employed,F,41408,Urban,Divorced,73,4.0,89,1,1,Corporate Auto,Corporate L2,Offer1,Branch,268.71,Four-Door Car,Medsize,A
4527,CF15558,California,5004.26,No,Basic,Master,1/30/11,Employed,F,39161,Urban,Married,63,18.0,83,1,4,Personal Auto,Personal L3,Offer2,Call Center,284.0,Two-Door Car,Small,
4528,GS76685,California,10408.97,Yes,Basic,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,,43,0,2,Corporate Auto,Corporate L3,Offer1,Branch,523.82,SUV,Medsize,
4529,QJ90136,California,10455.49,No,Extended,High School or Below,2/3/11,Employed,F,28363,Suburban,Divorced,133,0.0,35,0,3,Personal Auto,Personal L3,Offer1,Agent,638.4,Sports Car,Medsize,
4530,EW68125,California,4889.77,No,Basic,Bachelor,2/7/11,Employed,F,46819,Urban,Divorced,62,15.0,0,0,5,Personal Auto,Personal L2,Offer1,Agent,157.99,Four-Door Car,Large,A
4531,ZL17677,Washington,21480.82,No,Basic,Master,2/10/11,Medical Leave,F,15505,Suburban,Married,68,24.0,2,0,2,Personal Auto,Personal L2,Offer2,Agent,383.89,Two-Door Car,Large,A
4532,FX78218,California,2494.87,No,Basic,Doctor,2/12/11,Employed,M,45855,Rural,Married,62,0.0,26,1,1,Personal Auto,Personal L3,Offer3,Web,0.89,Four-Door Car,Large,A
4533,UL64533,Nevada,18975.46,No,Extended,High School or Below,1/22/11,Employed,M,65999,Urban,Married,237,1.0,14,0,6,Corporate Auto,Corporate L2,Offer2,Agent,615.93,Luxury SUV,Medsize,A
4534,KR25511,Washington,6005.21,Yes,Extended,High School or Below,1/12/11,Employed,M,26876,Suburban,Single,76,17.0,72,0,8,Corporate Auto,Corporate L2,Offer1,Agent,364.8,Four-Door Car,Medsize,A
4536,PC80039,Oregon,2359.42,Yes,Basic,Bachelor,1/11/11,Disabled,F,19864,Suburban,Divorced,63,22.0,96,0,1,Personal Auto,Personal L2,Offer1,Web,352.39,Four-Door Car,Medsize,
4537,EU48798,Nevada,8160.59,No,Basic,College,2/21/11,Disabled,F,24980,Suburban,Divorced,71,34.0,14,0,2,Personal Auto,Personal L3,Offer2,Web,511.2,Two-Door Car,Medsize,A
4538,ZP27971,California,3803.8,No,Extended,High School or Below,1/1/11,Employed,M,26050,Suburban,Married,97,4.0,51,0,1,Personal Auto,Personal L3,Offer2,Branch,465.6,Four-Door Car,Small,A
4540,FR46645,California,4294.0,No,Premium,Bachelor,1/17/11,Disabled,M,16701,Suburban,Married,113,20.0,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.63,Four-Door Car,Small,
4541,JT52858,Oregon,9027.87,No,Premium,Bachelor,1/10/11,Employed,F,99002,Suburban,Married,112,33.0,75,1,8,Personal Auto,Personal L1,Offer3,Branch,537.6,Four-Door Car,Medsize,
4542,WM39308,Nevada,15777.89,No,Basic,High School or Below,1/3/11,Employed,F,98713,Urban,Married,65,3.0,91,0,2,Personal Auto,Personal L2,Offer2,Call Center,289.89,Two-Door Car,Medsize,
4543,KH24214,Oregon,17857.97,No,Basic,College,2/13/11,Employed,M,55437,Suburban,Married,64,5.0,78,1,2,Personal Auto,Personal L3,Offer3,Agent,445.29,Four-Door Car,Medsize,
4545,DP92488,Washington,2727.52,No,Basic,Doctor,1/14/11,Employed,F,74592,Suburban,Married,67,9.0,30,0,1,Personal Auto,Personal L1,Offer4,Agent,321.6,Two-Door Car,Medsize,
4546,ID20929,Oregon,2756.94,No,Basic,Bachelor,1/18/11,Medical Leave,M,29926,Suburban,Divorced,74,25.0,34,0,1,Corporate Auto,Corporate L1,Offer1,Branch,418.23,Four-Door Car,Medsize,
4549,LH94971,Oregon,7057.89,No,Extended,Bachelor,1/17/11,Employed,M,37840,Suburban,Married,90,31.0,9,0,4,Corporate Auto,Corporate L2,Offer2,Agent,432.0,,,A
4550,LY14355,Washington,2935.99,No,Basic,High School or Below,2/27/11,Employed,F,73847,Suburban,Married,73,34.0,51,1,1,Personal Auto,Personal L2,Offer2,Web,350.4,Two-Door Car,Small,A
4551,XO67536,California,2563.39,No,Basic,College,2/13/11,Disabled,F,10860,Suburban,Married,66,30.0,91,0,1,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A
4554,NE67816,Oregon,2515.26,No,Basic,College,1/16/11,Employed,M,25558,Suburban,Married,63,31.0,11,0,1,Personal Auto,Personal L3,Offer2,Branch,453.6,Four-Door Car,Small,
4555,DR93103,Arizona,17556.99,No,Basic,Master,2/26/11,Employed,F,36212,Rural,Married,73,25.0,57,0,2,Personal Auto,Personal L2,Offer1,Agent,119.03,Two-Door Car,Medsize,
4556,UX18122,,3690.7,,Extended,Bachelor,1/17/11,Employed,F,59016,Suburban,Married,92,3.0,65,0,1,Corporate Auto,Corporate L1,Offer2,Web,441.6,Four-Door Car,Medsize,
4558,XK49057,California,4455.52,No,Basic,High School or Below,2/8/11,Employed,M,31196,Suburban,Single,62,26.0,57,4,9,Corporate Auto,Corporate L1,Offer1,Web,342.8,Two-Door Car,Small,
4559,IO81315,California,2460.17,No,Basic,College,2/21/11,Employed,F,69241,Rural,Married,61,14.0,84,0,1,Personal Auto,Personal L2,Offer3,Web,47.96,Four-Door Car,Small,
4560,DW71192,,5971.31,,Extended,High School or Below,1/21/11,Employed,M,52018,Suburban,Divorced,78,17.0,37,3,7,Personal Auto,Personal L3,Offer1,Agent,374.4,Four-Door Car,Medsize,
4561,EG36536,Arizona,8496.06,No,Basic,Bachelor,2/18/11,Employed,M,24031,Suburban,Divorced,109,0.0,72,0,7,Personal Auto,Personal L2,Offer1,Web,523.2,Sports Car,Small,
4562,YM44855,California,6570.97,No,Premium,Master,2/14/11,Employed,F,52951,Rural,Single,167,3.0,43,1,1,Personal Auto,Personal L1,Offer1,Branch,289.77,SUV,Small,A
4566,TC99043,California,13736.13,Yes,Premium,Master,2/13/11,Disabled,F,16181,Suburban,Divorced,181,22.0,79,0,8,Personal Auto,Personal L2,Offer1,Web,1261.32,SUV,Medsize,A
4570,IJ26642,Nevada,5107.16,Yes,Basic,Bachelor,1/26/11,Employed,F,35625,Urban,Married,65,10.0,56,1,3,Personal Auto,Personal L3,Offer2,Agent,288.57,Four-Door Car,Medsize,A
4571,CO56168,California,3964.53,No,Basic,High School or Below,1/24/11,Employed,M,62638,Urban,Married,100,20.0,62,0,1,Personal Auto,Personal L2,Offer2,Agent,441.99,SUV,Small,
4572,VQ57815,Oregon,8828.38,No,Basic,Doctor,1/1/11,Employed,M,61246,Rural,Married,110,24.0,21,0,3,Personal Auto,Personal L2,Offer2,Branch,159.24,Sports Car,Medsize,A
4573,AD71478,Arizona,3430.32,No,Extended,High School or Below,2/10/11,Employed,M,54339,Rural,Married,86,10.0,52,0,1,Personal Auto,Personal L3,Offer4,Agent,10.48,Four-Door Car,Large,A
4574,VF21170,California,8613.46,No,Basic,Bachelor,1/19/11,Employed,F,37277,Urban,Married,109,24.0,27,1,9,Personal Auto,Personal L2,Offer1,Agent,417.72,SUV,Medsize,A
4575,AZ34845,California,4798.24,No,Basic,Bachelor,2/20/11,Employed,F,77846,Urban,Married,119,8.0,45,0,1,Personal Auto,Personal L3,Offer1,Agent,342.47,Sports Car,Medsize,
4576,ZU93025,Oregon,2771.05,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3.0,32,0,1,Personal Auto,Personal L2,Offer2,Agent,18.92,Two-Door Car,Medsize,
4577,PK58026,Nevada,5736.46,No,Basic,Bachelor,2/2/11,Employed,F,96917,Suburban,Married,71,31.0,16,0,9,Personal Auto,Personal L3,Offer2,Agent,373.05,Two-Door Car,Medsize,
4578,TJ32609,California,8925.63,No,Basic,High School or Below,2/4/11,Employed,M,23860,Suburban,Married,114,25.0,57,1,3,Personal Auto,Personal L3,Offer2,Call Center,547.2,SUV,Small,A
4580,FY56083,Oregon,4719.76,No,Basic,Bachelor,2/13/11,Employed,M,37057,Rural,Married,61,5.0,48,1,6,Personal Auto,Personal L2,Offer1,Agent,47.53,Four-Door Car,Small,A
4581,ID89933,Oregon,7255.58,No,Extended,Doctor,1/9/11,Employed,F,39786,Urban,Married,91,,91,0,9,Personal Auto,Personal L2,Offer1,Web,365.84,,,
4582,FP39090,Oregon,24127.5,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13.0,3,0,2,Special Auto,Special L2,Offer1,Agent,511.2,Four-Door Car,Medsize,
4584,EP34249,Oregon,13869.93,Yes,Basic,College,1/21/11,Employed,M,28432,Suburban,Married,118,1.0,59,0,2,Corporate Auto,Corporate L1,Offer2,Branch,612.3,SUV,Small,
4585,SB60942,Arizona,7258.63,No,Basic,College,1/18/11,Employed,M,88082,Urban,Married,61,10.0,45,1,2,Personal Auto,Personal L1,Offer4,Branch,218.78,,,
4586,PB21909,Oregon,9775.82,No,Extended,Bachelor,2/14/11,Employed,M,55632,Urban,Single,123,,98,0,7,Personal Auto,Personal L2,Offer1,Agent,478.61,SUV,Medsize,
4587,EM27919,California,4458.11,Yes,Basic,Bachelor,1/2/11,Retired,M,17622,Suburban,Divorced,65,1.0,36,1,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize,A
4588,PY20159,Nevada,4787.81,No,Extended,College,1/27/11,Employed,M,45225,Rural,Single,124,15.0,83,0,1,Corporate Auto,Corporate L1,Offer3,Web,209.18,Sports Car,Small,
4591,QC35222,California,2683.47,No,Basic,Bachelor,1/1/11,Employed,F,48269,Urban,Married,69,3.0,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.15,Four-Door Car,Medsize,
4593,TB71474,Nevada,3141.33,No,Extended,College,1/18/11,Employed,F,24019,Rural,Married,79,,27,0,1,Personal Auto,Personal L3,Offer3,Branch,47.23,Four-Door Car,Medsize,A
4594,MJ77630,Oregon,47155.63,No,Extended,High School or Below,2/10/11,Employed,M,39891,Urban,Married,133,12.0,31,0,2,Personal Auto,Personal L3,Offer1,Agent,630.89,SUV,Medsize,
4596,OL97871,Oregon,7482.49,No,Extended,Bachelor,1/23/11,Employed,F,48992,Urban,Married,94,30.0,0,1,7,Personal Auto,Personal L2,Offer1,Agent,426.07,Four-Door Car,Medsize,
4597,LR27773,California,5329.08,No,Basic,Bachelor,2/21/11,Employed,F,43671,Urban,Married,67,6.0,67,0,3,Corporate Auto,Corporate L2,Offer3,Agent,190.65,Four-Door Car,Medsize,A
4598,IG56214,Nevada,5010.45,No,Basic,High School or Below,1/27/11,Disabled,M,10892,Suburban,Divorced,66,16.0,9,0,3,Personal Auto,Personal L1,Offer1,Call Center,316.8,Four-Door Car,Medsize,
4599,MM27192,Oregon,11981.98,Yes,Basic,Master,1/20/11,Retired,F,21514,Urban,Married,62,0.0,59,0,2,Personal Auto,Personal L2,Offer1,Agent,257.25,Two-Door Car,Medsize,
4600,JH35547,Oregon,24442.3,No,Basic,College,2/4/11,Employed,M,36261,Rural,Married,68,3.0,71,0,2,Personal Auto,Personal L2,Offer4,Call Center,16.8,Four-Door Car,Large,
4601,AA71604,Arizona,11986.59,No,Extended,Master,1/17/11,Employed,F,87560,Suburban,Married,98,4.0,86,1,2,Personal Auto,Personal L2,Offer1,Web,470.4,,,A
4602,XJ96748,Arizona,27495.42,No,Extended,High School or Below,2/23/11,Employed,F,37931,Suburban,Married,99,8.0,31,0,2,Personal Auto,Personal L3,Offer2,Branch,475.2,Four-Door Car,Small,A
4603,CH96412,Oregon,5423.14,No,Basic,Doctor,1/28/11,Employed,F,85018,Rural,Married,68,22.0,54,3,6,Personal Auto,Personal L1,Offer1,Call Center,62.84,Four-Door Car,Large,
4604,No34698,Oregon,4015.34,No,Basic,Bachelor,1/17/11,Employed,M,80055,Rural,Married,100,30.0,83,0,1,Corporate Auto,Corporate L2,Offer1,Branch,121.95,,,A
4605,ZX86243,Arizona,3278.53,No,Extended,Doctor,2/19/11,Employed,M,70247,Rural,Single,83,13.0,19,1,1,Personal Auto,Personal L2,Offer4,Call Center,141.8,Four-Door Car,Medsize,A
4606,FY27460,California,4285.58,No,Basic,College,1/8/11,Employed,M,47823,Suburban,Married,108,26.0,71,0,1,Personal Auto,Personal L3,Offer2,Agent,518.4,Sports Car,Medsize,
4607,EI32190,Arizona,6921.0,No,Extended,Doctor,1/6/11,Employed,M,67534,Rural,Married,87,2.0,55,2,5,Personal Auto,Personal L1,Offer1,Agent,104.91,Four-Door Car,Small,A
4608,ZZ22858,Arizona,15016.19,No,Basic,Bachelor,1/1/11,Employed,F,70619,Rural,Married,187,2.0,84,0,3,Personal Auto,Personal L3,Offer3,Branch,293.95,Luxury Car,Medsize,
4609,KC67832,California,17292.94,No,Extended,College,2/7/11,Employed,M,80028,Rural,Married,86,34.0,37,0,2,Corporate Auto,Corporate L1,Offer2,Web,114.02,,,A
4610,MM44301,California,7805.31,Yes,Basic,College,1/27/11,Retired,F,21073,Suburban,Divorced,106,25.0,54,1,3,Corporate Auto,Corporate L3,Offer1,Agent,508.8,SUV,Small,
4611,GI55977,Oregon,2337.35,No,Basic,High School or Below,2/23/11,Medical Leave,F,28806,Suburban,Married,61,13.0,90,0,1,Personal Auto,Personal L1,Offer2,Call Center,292.8,Four-Door Car,Small,
4612,TS81548,Oregon,5669.97,No,Basic,Master,1/13/11,Employed,F,43416,Suburban,Married,70,7.0,99,0,5,Personal Auto,Personal L3,Offer3,Branch,336.0,Four-Door Car,Medsize,A
4614,VN27419,Oregon,10083.49,Yes,Extended,High School or Below,2/19/11,Retired,F,11828,Suburban,Divorced,90,18.0,84,0,2,Personal Auto,Personal L2,Offer1,Agent,571.48,Four-Door Car,Large,A
4616,MR27647,Washington,3312.18,No,Extended,High School or Below,1/29/11,Disabled,F,27431,Suburban,Married,85,2.0,39,0,1,Personal Auto,Personal L2,Offer3,Agent,457.78,Four-Door Car,Medsize,
4617,XO43812,California,8028.18,No,Basic,Master,2/22/11,Employed,M,56482,Suburban,Married,199,4.0,75,0,1,Personal Auto,Personal L1,Offer4,Call Center,955.2,Luxury SUV,Medsize,
4618,ZZ43513,California,13110.55,No,Basic,High School or Below,1/19/11,Employed,M,73597,Urban,Married,114,5.0,8,5,2,Personal Auto,Personal L2,Offer4,Agent,485.18,SUV,Medsize,A
4619,IN67175,California,5659.14,No,Basic,College,2/9/11,Employed,F,52389,Suburban,Married,72,,8,0,9,Personal Auto,Personal L3,Offer1,Agent,345.6,Four-Door Car,Medsize,A
4620,RN56430,Nevada,5443.76,No,Basic,High School or Below,2/15/11,Employed,F,41449,Suburban,Married,69,16.0,96,1,3,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,Medsize,A
4622,EN31802,California,36168.34,No,Basic,High School or Below,1/9/11,Employed,M,74140,Suburban,Married,101,31.0,23,2,2,Personal Auto,Personal L1,Offer2,Web,484.8,SUV,Medsize,
4623,NW73460,Arizona,7777.2,No,Basic,High School or Below,1/7/11,Employed,F,46182,Rural,Married,65,23.0,27,0,2,Corporate Auto,Corporate L1,Offer2,Branch,2.57,Two-Door Car,Medsize,A
4624,IG68709,Oregon,3498.63,No,Extended,High School or Below,1/2/11,Employed,F,41711,Urban,Single,90,3.0,89,0,1,Personal Auto,Personal L2,Offer1,Agent,351.29,Four-Door Car,Medsize,
4625,MY64920,Oregon,9217.13,No,Basic,College,2/27/11,Employed,F,73259,Suburban,Married,115,7.0,31,0,4,Personal Auto,Personal L2,Offer4,Web,673.34,SUV,Medsize,A
4627,VW39046,Nevada,3873.65,Yes,Basic,College,1/20/11,Retired,M,28142,Suburban,Married,105,18.0,50,0,1,Personal Auto,Personal L3,Offer2,Agent,701.71,Sports Car,Medsize,
4628,UL55837,Nevada,11130.12,No,Extended,Bachelor,1/25/11,Employed,F,42928,Suburban,Married,93,20.0,65,0,2,Personal Auto,Personal L3,Offer1,Call Center,651.62,Four-Door Car,Large,A
4630,OZ86942,California,5790.46,No,Basic,Bachelor,1/31/11,Employed,F,52443,Suburban,Married,73,0.0,47,1,4,Corporate Auto,Corporate L3,Offer2,Agent,350.4,Four-Door Car,Medsize,A
4631,EW17514,California,14435.67,Yes,Premium,Master,1/26/11,Employed,M,60880,Rural,Married,119,25.0,89,0,2,Personal Auto,Personal L2,Offer1,Agent,109.91,Two-Door Car,Medsize,A
4633,IQ63581,California,5066.83,No,Basic,Master,2/21/11,Employed,F,40215,Rural,Divorced,64,11.0,22,0,3,Personal Auto,Personal L2,Offer3,Branch,98.48,Four-Door Car,Medsize,A
4635,QE92747,Oregon,8209.05,No,Premium,Bachelor,1/13/11,Employed,F,77282,Suburban,Married,102,8.0,54,0,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,Four-Door Car,Medsize,
4636,EP26605,Washington,5688.2,No,Basic,Bachelor,1/14/11,Employed,F,44833,Suburban,Divorced,72,24.0,59,0,3,Personal Auto,Personal L2,Offer1,Agent,345.6,Two-Door Car,Medsize,
4637,CE11308,Washington,3575.04,No,Extended,College,1/22/11,Employed,M,30244,Urban,Married,92,11.0,72,0,1,Personal Auto,Personal L2,Offer4,Call Center,383.11,Four-Door Car,Medsize,
4639,IN15077,California,4807.85,No,Basic,High School or Below,1/4/11,Employed,M,99874,Urban,Married,119,7.0,42,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,307.64,Sports Car,Medsize,A
4641,JK74110,California,3980.42,No,Extended,High School or Below,1/8/11,Employed,M,98333,Urban,Married,99,16.0,69,1,1,Personal Auto,Personal L3,Offer1,Branch,459.05,Four-Door Car,Medsize,
